Region,Store Name,#,Link
ca,Eaton Centre,1,https://www.apple.com/ca/retail/eatoncentre/images/hero_large_2x.jpg
ca,Fairview,1,https://www.apple.com/ca/retail/fairview/images/hero_large_2x.jpg
ca,Fairview Pointe-Claire,1,https://www.apple.com/ca/retail/fairviewpointeclaire/images/hero_large_2x.jpg
ca,Guildford Town Centre,1,https://www.apple.com/ca/retail/guildfordtowncentre/images/hero_large_2x.jpg
ca,Halifax Shopping Centre,1,https://www.apple.com/ca/retail/halifaxshoppingcentre/images/hero_large_2x.jpg
ca,Mapleview Centre,1,https://www.apple.com/ca/retail/mapleviewcentre/images/hero_large_2x.jpg
ca,Market Mall,1,https://www.apple.com/ca/retail/marketmall/images/hero_large_2x.jpg
ca,Markville Shopping Centre,1,https://www.apple.com/ca/retail/markvilleshoppingcentre/images/hero_large_2x.jpg
ca,Masonville,1,https://www.apple.com/ca/retail/masonville/images/hero_large_2x.jpg
ca,Metrotown,1,https://www.apple.com/ca/retail/metrotown/images/hero_large_2x.jpg
ca,Oakridge Centre,1,https://www.apple.com/ca/retail/oakridgecentre/images/hero_large_2x.jpg
ca,Pacific Centre,1,https://www.apple.com/ca/retail/pacificcentre/images/hero_large_2x.jpg
ca,Place Ste-Foy,1,https://www.apple.com/ca/retail/placestefoy/images/hero_large_2x.jpg
ca,Polo Park,1,https://www.apple.com/ca/retail/polopark/images/hero_large_2x.jpg
ca,Richmond Centre,1,https://www.apple.com/ca/retail/richmondcentre/images/hero_large_2x.jpg
ca,Rideau,1,https://www.apple.com/ca/retail/rideau/images/hero_large_2x.jpg
ca,Sainte-Catherine,1,https://www.apple.com/ca/retail/saintecatherine/images/hero_large_2x.jpg
ca,Sherway Gardens,1,https://www.apple.com/ca/retail/sherwaygardens/images/hero_large_2x.jpg
ca,Southgate Centre,1,https://www.apple.com/ca/retail/southgatecentre/images/hero_large_2x.jpg
ca,Square One,1,https://www.apple.com/ca/retail/squareone/images/hero_large_2x.jpg
ca,Upper Canada Mall,1,https://www.apple.com/ca/retail/uppercanadamall/images/hero_large_2x.jpg
ca,West Edmonton,1,https://www.apple.com/ca/retail/westedmonton/images/hero_large_2x.jpg
ca,Yorkdale,1,https://www.apple.com/ca/retail/yorkdale/images/hero_large_2x.jpg
ch,Freie Strasse,1,https://www.apple.com/chfr/retail/freiestrasse/images/hero_large_2x.jpg
ch,Glattzentrum,1,https://www.apple.com/chfr/retail/glattzentrum/images/hero_large_2x.jpg
ch,Rennweg,1,https://www.apple.com/chfr/retail/rennweg/images/hero_large_2x.jpg
ch,Rue de Rive,1,https://www.apple.com/chfr/retail/ruederive/images/hero_large_2x.jpg
cn,Center 66 Wuxi,1,https://www.apple.com/cn/retail/center66wuxi/images/hero_large_2x.jpg
cn,Chaoyang Joy City,1,https://www.apple.com/cn/retail/chaoyangjoycity/images/hero_large_2x.jpg
cn,China Central Mall,1,https://www.apple.com/cn/retail/chinacentralmall/images/hero_large_2x.jpg
cn,Global Harbor,1,https://www.apple.com/cn/retail/globalharbor/images/hero_large_2x.jpg
cn,Holiday Plaza Shenzhen,1,https://www.apple.com/cn/retail/holidayplazashenzhen/images/hero_large_2x.jpg
cn,Hong Kong Plaza,1,https://www.apple.com/cn/retail/hongkongplaza/images/hero_large_2x.jpg
cn,Jiefangbei,1,https://www.apple.com/cn/retail/jiefangbei/images/hero_large_2x.jpg
cn,Jiefangbei,2,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image2_large_2x.jpg
cn,Jiefangbei,3,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image3_large_2x.jpg
cn,Jiefangbei,4,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image4_large_2x.jpg
cn,Jiefangbei,5,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image5_large_2x.jpg
cn,Jiefangbei,6,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image6_large_2x.jpg
cn,Jiefangbei,7,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image7_large_2x.jpg
cn,Jiefangbei,8,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/jiefangbei/images/jiefangbei_gallery_image8_large_2x.jpg
cn,Kunming,1,https://www.apple.com/cn/retail/kunming/images/hero_large_2x.jpg
cn,MixC Chengdu,1,https://www.apple.com/cn/retail/mixcchengdu/images/hero_large_2x.jpg
cn,MixC Chongqing,1,https://www.apple.com/cn/retail/mixcchongqing/images/hero_large_2x.jpg
cn,MixC Hangzhou,1,https://www.apple.com/cn/retail/mixchangzhou/images/hero_large_2x.jpg
cn,MixC Nanning,1,https://www.apple.com/cn/retail/mixcnanning/images/hero_large_2x.jpg
cn,MixC Qingdao,1,https://www.apple.com/cn/retail/mixcqingdao/images/hero_large_2x.jpg
cn,MixC Shenyang,1,https://www.apple.com/cn/retail/mixcshenyang/images/hero_large_2x.jpg
cn,MixC Tianjin,1,https://www.apple.com/cn/retail/mixctianjin/images/hero_large_2x.jpg
cn,MixC Zhengzhou,1,https://www.apple.com/cn/retail/mixczhengzhou/images/hero_large_2x.jpg
cn,Nanjing East,1,https://www.apple.com/cn/retail/nanjingeast/images/hero_large_2x.jpg
cn,Nanjing East,2,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image2_large_2x.jpg
cn,Nanjing East,3,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image3_large_2x.jpg
cn,Nanjing East,4,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image4_large_2x.jpg
cn,Nanjing East,5,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image5_large_2x.jpg
cn,Nanjing East,6,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image6_large_2x.jpg
cn,Nanjing East,7,https://www.apple.comhttps://images.apple.com/cn/retail/store/images/galleries/nanjingeast/images/nanjingeast_gallery_image7_large_2x.jpg
