,Link,Region
CAP 3000,https://www.apple.com/fr/retail/cap3000/,fr
Champs-Élysées,https://www.apple.com/fr/retail/champs-elysees/,fr
Marché Saint-Germain,https://www.apple.com/fr/retail/marchesaintgermain/,fr
Opéra,https://www.apple.com/fr/retail/opera/,fr
Les Quatre Temps,https://www.apple.com/fr/retail/lesquatretemps/,fr
Rosny 2,https://www.apple.com/fr/retail/rosny2/,fr
Atlantis,https://www.apple.com/fr/retail/atlantis/,fr
Strasbourg,https://www.apple.com/fr/retail/strasbourg/,fr
Vélizy 2,https://www.apple.com/fr/retail/velizy2/,fr
Amsterdam,https://www.apple.com/nl/retail/amsterdam/,nl
Den Haag,https://www.apple.com/nl/retail/denhaag/,nl
Haarlem,https://www.apple.com/nl/retail/haarlem/,nl
Río Shopping,https://www.apple.com/es/retail/rioshopping/,es
Xanadú,https://www.apple.com/es/retail/xanadu/,es
La Maquinista,https://www.apple.com/es/retail/lamaquinista/,es
Passeig de Gràcia,https://www.apple.com/es/retail/passeigdegracia/,es
Nueva Condomina,https://www.apple.com/es/retail/nuevacondomina/,es
Parquesur,https://www.apple.com/es/retail/parquesur/,es
Puerta del Sol,https://www.apple.com/es/retail/puertadelsol/,es
Gran Plaza 2,https://www.apple.com/es/retail/granplaza2/,es
La Cañada,https://www.apple.com/es/retail/lacanada/,es
Calle Colón,https://www.apple.com/es/retail/callecolon/,es
Puerto Venecia,https://www.apple.com/es/retail/puertovenecia/,es
Causeway Bay,https://www.apple.com/hk/en/retail/causewaybay/,hk
ifc mall,https://www.apple.com/hk/en/retail/ifcmall/,hk
Festival Walk,https://www.apple.com/hk/en/retail/festivalwalk/,hk
apm Hong Kong,https://www.apple.com/hk/en/retail/apmhongkong/,hk
New Town Plaza,https://www.apple.com/hk/en/retail/newtownplaza/,hk
Canton Road,https://www.apple.com/hk/en/retail/cantonroad/,hk
Väla Centrum,https://www.apple.com/se/retail/valacentrum/,se
Emporia,https://www.apple.com/se/retail/emporia/,se
Täby Centrum,https://www.apple.com/se/retail/tabycentrum/,se
VillageMall,https://www.apple.com/br/retail/villagemall/,br
Morumbi,https://www.apple.com/br/retail/morumbi/,br
Zorlu Center,https://www.apple.com/tr/retail/zorlucenter/,tr
Akasya,https://www.apple.com/tr/retail/akasya/,tr
Brussels,https://www.apple.com/befr/retail/brussels/,be
Yas Mall,https://www.apple.com/ae/retail/yasmall/,ae
Dubai Mall,https://www.apple.com/ae/retail/dubaimall/,ae
Mall of the Emirates,https://www.apple.com/ae/retail/malloftheemirates/,ae
Cotai Central,https://www.apple.com/mo-en/retail/cotaicentral/,mo
Galaxy Macau,https://www.apple.com/mo-en/retail/galaxymacau/,mo
Vía Santa Fe,https://www.apple.com/mx/retail/viasantafe/,mx
Antara,https://www.apple.com/mx/retail/antara/,mx
Jewel Changi Airport,https://www.apple.com/sg/retail/jewelchangiairport/,sg
Orchard Road,https://www.apple.com/sg/retail/orchardroad/,sg
Taipei 101,https://www.apple.com/tw/retail/taipei101/,tw
Xinyi A13,https://www.apple.com/tw/retail/xinyia13/,tw
Iconsiam,https://www.apple.com/th-en/retail/iconsiam/,th
Garosugil,https://www.apple.com/kr/retail/garosugil/,kr
